id,comercio,tipo_gasto,Prob. gasto,Monto estimado,Fecha esperada aprox
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,fijo,1.0,11.62,2023-02-15 12:00:00.000000000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,fijo,1.0,23.1,2023-02-20 12:00:00.000000000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,patrón,1.0,11.62,2023-02-15 12:00:00.000000000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI RIDES,patrón,1.0,8.181805555555554,2023-01-24 04:03:22.816944000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADO PAGO,patrón,1.0,20.67,2023-01-30 00:00:00.000000000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,patrón,1.0,23.100000000000005,2023-02-20 12:00:00.000000000
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER,patrón,1.0,8.33123076923077,2023-01-25 08:15:00.000000000
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,fijo,1.0,5.38,2023-02-27 12:00:00.000000000
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,fijo,1.0,11.62,2023-02-05 12:00:00.000000000
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,patrón,1.0,11.62,2023-02-05 12:00:00.000000000
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,NETFLIX,patrón,1.0,17.36,2023-02-15 12:00:00.000000000
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,OXXO GAS,patrón,1.0,110.53818181818183,2023-02-05 16:48:00.000000000
0132462ee1acf1c37e7411b20bac94e1d19959df,GOOGLE,fijo,1.0,5.87,2023-02-08 12:00:00.000000000
0132462ee1acf1c37e7411b20bac94e1d19959df,ITUNES,fijo,1.0,2.19,2023-02-25 12:00:00.000000000
0132462ee1acf1c37e7411b20bac94e1d19959df,ITUNES,patrón,1.0,2.19,2023-02-25 12:00:00.000000000
0132462ee1acf1c37e7411b20bac94e1d19959df,OXXO,patrón,1.0,10.58,2023-01-31 14:04:08.275900799
0132462ee1acf1c37e7411b20bac94e1d19959df,TOTALPLAY,patrón,1.0,89.76333333333334,2023-02-16 00:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON,fijo,1.0,15.06,2023-02-27 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON PRIME,fijo,1.0,11.62,2023-02-18 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE YOUTUBE,fijo,1.0,32.29,2023-02-08 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON PRIME,patrón,1.0,11.62,2023-02-18 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE YOUTUBE,patrón,1.0,32.29,2023-02-08 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,NETFLIX,patrón,1.0,42.17333333333334,2023-02-23 12:00:00.000000000
0172891ba3000c3150a6985265517678ebbf3b39,UBER,patrón,1.0,17.3571875,2023-01-22 15:29:01.935456000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON,fijo,1.0,8.17,2023-02-05 12:00:00.000000000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON PRIME,fijo,1.0,11.62,2023-01-22 07:59:59.999971200
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,CRUNCHYROLL,fijo,1.0,17.36,2023-02-25 12:00:00.000000000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,CRUNCHYROLL,patrón,1.0,17.36,2023-02-25 12:00:00.000000000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,NETFLIX,patrón,1.0,36.88999999999999,2023-02-25 12:00:00.000000000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,TOTALPLAY,patrón,1.0,102.49,2023-02-01 00:00:00.000000000
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,UNDOSTRES,patrón,1.0,14.09529411764706,2023-01-28 04:30:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,GOOGLE,fijo,1.0,4.15,2023-02-15 12:00:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,SPOTIFY,fijo,1.0,23.1,2023-02-14 12:00:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,GOOGLE,patrón,1.0,4.15,2023-02-15 12:00:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,MEGACABLE,patrón,1.0,84.48666666666666,2023-02-15 00:00:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,SPOTIFY,patrón,1.0,23.100000000000005,2023-02-14 12:00:00.000000000
0222064a58a1778a4d7a9e10088174a532e71553,TELCEL,patrón,1.0,32.29,2023-02-17 12:00:00.000000000
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,APPLE,fijo,1.0,17.36,2023-02-28 12:00:00.000000000
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,APPLE,patrón,1.0,12.123333333333333,2023-02-01 13:33:54.782582400
02a73132fe5c2af6d596eec88629c754d9e9c860,MICROSOFT,fijo,1.0,20.81,2023-02-02 12:00:00.000000000
02a73132fe5c2af6d596eec88629c754d9e9c860,UBER,fijo,1.0,8.28,2023-02-08 12:00:00.000000000
02a73132fe5c2af6d596eec88629c754d9e9c860,MICROSOFT,patrón,1.0,20.81,2023-02-02 12:00:00.000000000
02b41a28e9c440a28577c71daec52258dc817866,GOOGLE YOUTUBEPREMIUM,fijo,1.0,32.29,2023-02-27 12:00:00.000000000
02b41a28e9c440a28577c71daec52258dc817866,SPOTIFY,fijo,1.0,23.1,2023-02-20 12:00:00.000000000
02b41a28e9c440a28577c71daec52258dc817866,GOOGLE YOUTUBEPREMIUM,patrón,1.0,32.29,2023-02-27 12:00:00.000000000
02b41a28e9c440a28577c71daec52258dc817866,MICROSOFT,patrón,1.0,27.180000000000003,2023-02-01 19:12:00.000000000
02b41a28e9c440a28577c71daec52258dc817866,SPOTIFY,patrón,1.0,23.100000000000005,2023-02-20 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,AMAZON PRIME,fijo,1.0,11.62,2023-02-06 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,GOOGLE YOUTUBEPREMIUM,fijo,1.0,16.21,2023-02-05 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SPOTIFY,fijo,1.0,23.1,2023-02-22 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SPOTIFY,fijo,1.0,23.1,2023-02-23 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SPOTIFY,fijo,1.0,23.1,2023-02-26 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SPOTIFY,fijo,1.0,23.1,2023-02-27 12:00:00.000000000
03a0f8bca94b5801342b9b479213fc548b3f0dd1,AMAZON,patrón,1.0,13.91,2023-01-24 16:00:00.000028800
