id,comercio,monto,frecuencia_dias,std_monto,n_tx,fecha_ultima_tx,y,monto_real,id_municipio,id_estado,fecha_nacimiento_year,fecha_nacimiento_month,fecha_nacimiento_age_days,fecha_alta_year,fecha_alta_month,fecha_alta_age_days,tipo_gasto_fijo,tipo_gasto_patrón,tipo_persona_Persona Fisica Con Actividad Empresarial,tipo_persona_Persona Fisica Sin Actividad Empresarial,genero_ ,genero_F,genero_M,actividad_empresarial_ADMINISTRACION DE INMUEBLES,actividad_empresarial_AGENCIA DE PUBLICIDAD,actividad_empresarial_AGENTE DE SEGUROS,actividad_empresarial_AMA DE CASA,actividad_empresarial_COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,actividad_empresarial_COMPRA VENTA DE HARDWARE SOFTWARE Y ARTCULOS COMPUTACIONALES,actividad_empresarial_COMPRA VENTA DE ROPA,actividad_empresarial_COMPRAVENTA DE ARTICULOS DE FERRETERIA,actividad_empresarial_CONSTRUCCION DE INMUEBLES,actividad_empresarial_DESPACHO DE OTROS PROFESIONISTAS,actividad_empresarial_EMPLEADO DE GOBIERNO,actividad_empresarial_EMPLEADO DEL SECTOR INDUSTRIAL,actividad_empresarial_EMPLEADO DEL SECTOR SERVICIOS,actividad_empresarial_ESTABLECIMIENTOS PRIVADOS DE INSTRUCCION EDUCACION CULTURA E INVESTIGACION,actividad_empresarial_ESTABLECIMIENTOS PUBLICOS DE INSTRUCCION EDUCACION SUBPROFESIONAL YPROFESIONAL CULTURA E INVESTIGACION,actividad_empresarial_ESTUDIANTE,actividad_empresarial_JUBILADO,actividad_empresarial_ORGANIZACIONES DE ABOGADOS MEDICOS INGENIEROS Y OTRAS ASOCIACIONES DE PROFESIONALES,actividad_empresarial_PREPARACION DE TIERRAS DE CULTIVO Y OTROS SERVICIOS AGRICOLAS,actividad_empresarial_PRESTACION DE OTROS SERVICIOS TECNICOS,actividad_empresarial_PROFESIONISTA INDEPENDIENTE,actividad_empresarial_SERVICIOS ADMINISTRATIVOS DE TRAMITE Y COBRANZA INCLUSO ESCRITORIOS PUBLICOS,actividad_empresarial_SERVICIOS DE ANALISIS DE SISTEMAS Y PROCESAMIENTO ELECTRONICO DE DATOS,actividad_empresarial_SERVICIOS DE ASESORIA Y ESTUDIOS TECNICOS DE ARQUITECTURA E INGENIERIA INCLUSO DISEO INDUSTRIAL,actividad_empresarial_SERVICIOS DE CONTADURIA Y AUDITORIA INCLUSO TENEDURIA DE LIBROS,actividad_empresarial_SERVICIOS MEDICO GENERAL Y ESPECIALIZADO EN CONSULTORIOS,actividad_empresarial_TELEDIFUSORA,actividad_empresarial_TIENDA DE ABARROTES Y MISCELANEA,actividad_empresarial_TRANSPORTE DE CARGA FORANEA
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,11.62,28.076923076923077,0.0,14,2023-01-16,0,0.0,6115109,61,1998,2,9164,2019,12,1196,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,23.1,30.416666666666668,0.0,13,2023-01-21,0,0.0,6115109,61,1998,2,9164,2019,12,1196,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,5.38,30.5,0.0,3,2023-01-28,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,8.17,25.0,0.0,7,2022-07-11,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,11.62,30.625,0.0,9,2023-01-06,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MICROSOFT,15.17,30.363636363636363,0.0,12,2023-01-17,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MICROSOFT,28.85,30.375,0.0,9,2022-09-11,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,NETFLIX,16.21,30.555555555555557,0.0,10,2022-12-16,0,0.0,6822014,68,1992,2,11370,2020,9,913,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0132462ee1acf1c37e7411b20bac94e1d19959df,GOOGLE,5.87,30.5,0.0,3,2023-01-09,0,0.0,7630028,76,1987,3,13166,2019,12,1202,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0132462ee1acf1c37e7411b20bac94e1d19959df,GOOGLE,28.39,37.111111111111114,0.0,10,2023-01-22,0,0.0,7630028,76,1987,3,13166,2019,12,1202,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0132462ee1acf1c37e7411b20bac94e1d19959df,ITUNES,2.19,33.4,0.0,11,2023-01-26,0,0.0,7630028,76,1987,3,13166,2019,12,1202,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0132462ee1acf1c37e7411b20bac94e1d19959df,TELCEL,34.71,51.0,0.0,4,2022-09-30,0,0.0,7630028,76,1987,3,13166,2019,12,1202,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0132462ee1acf1c37e7411b20bac94e1d19959df,TOTALPLAY,89.73,76.5,0.0,3,2022-12-15,0,0.0,7630028,76,1987,3,13166,2019,12,1202,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON,15.06,33.18181818181818,0.0,12,2023-01-28,0,0.0,6014039,60,1996,9,9705,2019,3,1488,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON PRIME,11.62,30.416666666666668,0.0,13,2023-01-19,0,0.0,6014039,60,1996,9,9705,2019,3,1488,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE,4.15,55.0,0.0,6,2023-01-13,0,0.0,6014039,60,1996,9,9705,2019,3,1488,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE,6.93,30.333333333333332,0.0,4,2022-07-01,0,0.0,6014039,60,1996,9,9705,2019,3,1488,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
